product_name,product_brand,site_category_lv1,site_category_lv2,overall_rating,review_text
notebook asus vivobook max x541nago472t intel celeron quad core 4gb 500gb tela led 156 windows 10 branco,nan,informatica,notebook,4,contente compra entrega rapida unico problema americanas troca devolucao produto consumidor problemas espera
copo acrilico canudo 500ml rocie,nan,utilidades domesticas,copos tacas canecas,4,apenas r199420eu consegui comprar lindo copo acrilico
panela pressao eletrica philips walita daily 5l timer,philips walita,eletroportateis,panela eletrica,4,supera agilidade praticidade outras panelas eletricas costumo usar outra panela cozimento arroz japonesa leva tempo 50 minutos nessa panela rapido exatamente 6 minutos recomendo
betoneira columbus roma brinquedos,roma jensen,brinquedos,veiculos brinquedo,4,filho amou parece verdade tantos detalhes
smart tv led 43 lg 43uj6525 ultra hd 4k conversor digital 4 hdmi 2 usb webos 35 painel ips hdr magic mobile connection,lg,tv home theater,tv,5,entrega prazo americanas estao parabens smart tv boa navegacao internete aplicativos excelente nao trava falar imagem surpreender recomendo
copo acrilico canudo 500ml rocie,nan,utilidades domesticas,copos tacas canecas,5,excelente produto material acrilico super resistente dentro adamantio faz milagre qualquer bebida sugiro aproveitarem promocao antes acabe
copo acrilico canudo 500ml rocie,nan,utilidades domesticas,copos tacas canecas,5,produto mto bom garrafinha vc pode ate servir agua pro megazord to pensando vender tv pra comprar 1 garrafa dessa recomendo
smartphone motorola moto g 5s dual chip android 711 nougat tela 52 snapdragon 430 32gb 4g camera 16mp platinum,nan,celulares smartphones,smartphone,4,produto excelente qualidade boa camera desenvolvimento android rapidez
ventilador teto ventisol fenix premium branco 3 velocidades controle remoto,ventisol,casa construcao,climatizacao,5,barulho minimo vento bem forte velocidade 2
kit 10 pecas fita led 12v 5050 300 leds rgb fonte,nan,casa construcao,iluminacao,1,produto nao entregue americanas descontando fatura cartao
copo acrilico canudo 500ml rocie,nan,utilidades domesticas,copos tacas canecas,5,comprei pra cara membro familia nesse natal
aspirador po philco rapid 1000n vermelhopreto 1000w,philco,eletroportateis,aspirador vassoura eletrica,5,produto maravilhoso nao barulhento facil manuseio tranquilo montar desmontar entrega antes prazo tratando epoca natal americanas parabens produto bom recomendo forca
conjunto panelas antiaderente turim 10 pecas vermelha tramontina,nan,utilidades domesticas,panelas,5,jogo panelas excelente material entrega tempo design bom
smartphone motorola moto g 5s dual chip android 711 nougat tela 52 snapdragon 430 32gb 4g camera 16mp dourado,nan,celulares smartphones,smartphone,1,celular nao vale nada bateria nao vale nada descarrega sozinha usando esquenta tanto faz medo espludi pior compra vida condicoes quebrava mil pedacos comprava outro qualquer marca menos motorola
tenis casual conforto beira rio,nan,moda,feminino,5,produto acordo esperava somente prazo entrega ficou pouco desejar pouco longo
mochila sport escolar camping trilha viagem passeio,nan,malas acessorios,mochilas,2,mochila nao fechando direito nao recomendo filho nao deixado suja ia devolver
toldo versatil artplas 120x60cm branco cristal,nan,moveis,puff tamborete,4,produto condizente anuncio material boa qualidade facil instalacao montagem preco acordo necessidade cada
smart tv led 65 samsung 65mu6100 uhd 4k hdr premium conversor digital 3 hdmi 2 usb 120hz,nan,tv home theater,tv,4,nao nada reclamar bom atendimento entrega dentro combinado
barra cereal nestle banana aveia mel 60g 3 unidades,nan,alimentos bebidas,barra cereais,4,ate agora produtos comprei entregue certo obrigado continua assim
capa protetora toyota corola cadeado,nan,automotivo,capas carro,3,capa nao decepcionou enquanto bolsa guarda transporte extremamente fragil abertura conferencia ja rasgou toda volta junto fecho pessima impressao guardala noutra embalagem pena
